state,crop,year,yield,area,production
Andaman And Nicobar Islands,Maize,2007,3.80832719552879,230.81,879.0
Andaman And Nicobar Islands,Maize,2008,2.6820083682008367,239.0,641.0
Andaman And Nicobar Islands,Maize,2009,2.4846625766871164,163.0,405.0
Andaman And Nicobar Islands,Maize,2010,2.244099302922832,163.54000000000002,367.0
Andaman And Nicobar Islands,Maize,2011,2.0984615384615384,162.5,341.0
Andaman And Nicobar Islands,Maize,2012,1.8614718614718615,115.5,215.0
Andaman And Nicobar Islands,Maize,2013,2.252113758647194,130.10000000000002,293.0
Andaman And Nicobar Islands,Maize,2014,3.6146020347097547,167.1,604.0
Andaman And Nicobar Islands,Maize,2015,2.929460580912863,120.5,353.0
Andaman And Nicobar Islands,Maize,2016,2.0966183574879227,103.5,217.0
Andaman And Nicobar Islands,Maize,2017,0.8711600183402108,43.620000000000005,38.0
Andaman And Nicobar Islands,Maize,2018,1.5109466543324084,32.43,49.0
Andaman And Nicobar Islands,Maize,2019,2.768334142787761,20.59,57.0
Andaman And Nicobar Islands,Rapeseed and Mustard,2007,0.47368421052631576,19.0,9.0
Andaman And Nicobar Islands,Rapeseed and Mustard,2008,0.5454545454545454,11.0,6.0
Andaman And Nicobar Islands,Rapeseed and Mustard,2009,0.3548387096774194,31.0,11.0
Andaman And Nicobar Islands,Rapeseed and Mustard,2011,0.2347417840375587,21.3,5.0
Andaman And Nicobar Islands,Rapeseed and Mustard,2012,0.27322404371584696,18.3,5.0
Andaman And Nicobar Islands,Rapeseed and Mustard,2013,0.7608695652173914,9.2,7.0
Andaman And Nicobar Islands,Rapeseed and Mustard,2014,0.47058823529411764,8.5,4.0
Andaman And Nicobar Islands,Rapeseed and Mustard,2015,0.37735849056603776,5.3,2.0
Andaman And Nicobar Islands,Rapeseed and Mustard,2016,0.2222222222222222,4.5,1.0
Andaman And Nicobar Islands,Rapeseed and Mustard,2017,0.0,0.11,0.0
Andaman And Nicobar Islands,Rapeseed and Mustard,2018,3.3333333333333335,0.3,1.0
Andaman And Nicobar Islands,Rice,2000,2.957816377171216,10881.0,32184.0
Andaman And Nicobar Islands,Rice,2001,2.7887970615243343,9801.0,27333.0
Andaman And Nicobar Islands,Rice,2002,2.950114836931557,10885.0,32112.0
Andaman And Nicobar Islands,Rice,2003,2.92111724141849,10561.37,30851.0
Andaman And Nicobar Islands,Rice,2004,2.719442715921497,10734.92,29193.0
Andaman And Nicobar Islands,Rice,2005,2.9800344713642444,8685.47,25883.0
