state,year,yield_ton_per_hectare,production_tonnes
Andaman And Nicobar Islands,2000,3.2588224621246487,35922.0
Andaman And Nicobar Islands,2001,3.0064757664676716,29713.0
Andaman And Nicobar Islands,2002,4.046892904363156,45912.0
Andaman And Nicobar Islands,2003,3.1147702959636616,33731.0
Andaman And Nicobar Islands,2004,2.826515737791102,30753.0
Andaman And Nicobar Islands,2005,3.214504129465172,28331.0
Andaman And Nicobar Islands,2006,3.0422076730408283,24037.0
Andaman And Nicobar Islands,2007,3.388742930992051,26300.0
Andaman And Nicobar Islands,2008,2.2149048880327475,18397.0
Andaman And Nicobar Islands,2009,2.2446017699115046,19023.0
Andaman And Nicobar Islands,2010,2.9417405374740024,25616.0
Andaman And Nicobar Islands,2011,2.222918711783421,18795.0
Andaman And Nicobar Islands,2012,2.4747224004940485,20437.0
Andaman And Nicobar Islands,2013,2.8144758735440933,23681.0
Andaman And Nicobar Islands,2014,2.6002176406576276,17682.0
Andaman And Nicobar Islands,2015,2.586068096794052,16383.0
Andaman And Nicobar Islands,2016,2.8117043362450547,14356.0
Andaman And Nicobar Islands,2017,2.1214602897284704,11657.0
Andaman And Nicobar Islands,2018,2.192512210706434,12147.0
Andaman And Nicobar Islands,2019,3.247409284065698,18868.0
Andhra Pradesh,1997,5.4605129624504105,23674600.0
Andhra Pradesh,1998,5.757768144851926,30018700.0
Andhra Pradesh,1999,5.707780311679773,30975279.0
Andhra Pradesh,2000,5.979550734306078,32115288.0
Andhra Pradesh,2001,6.449635064707325,31372876.0
Andhra Pradesh,2002,6.055086426429657,24654671.0
Andhra Pradesh,2003,6.05422469947991,27111242.0
Andhra Pradesh,2004,6.325959400264757,27835961.0
Andhra Pradesh,2005,6.0725481501227785,33167505.0
Andhra Pradesh,2006,6.506483682846622,36737741.0
Andhra Pradesh,2007,6.7462035259207545,38649000.0
Andhra Pradesh,2008,5.6715944891345655,34712529.0
Andhra Pradesh,2009,5.151368634408268,26208237.0
Andhra Pradesh,2010,5.376781527072665,34166113.0
Andhra Pradesh,2011,5.848540171529824,33841987.0
Andhra Pradesh,2012,5.885410947882125,32696530.0
Andhra Pradesh,2013,6.3501446735878275,22947213.0
Andhra Pradesh,2014,6.483934540333611,20829523.0
Andhra Pradesh,2015,6.231930148687626,18849071.0
Andhra Pradesh,2016,6.18194564424488,17940643.0
Andhra Pradesh,2017,5.96932683289799,19253616.0
Andhra Pradesh,2018,5.882433654100534,18121631.0
Andhra Pradesh,2019,5.759964351187271,18594075.0
Andhra Pradesh,2021,21882.5,
Andhra Pradesh,2022,21537.25,
Andhra Pradesh,2023,22893.5,
Arunachal Pradesh,1997,1.2251991754415288,219911.0
Arunachal Pradesh,1998,1.1325873081427253,200195.0
Arunachal Pradesh,1999,1.2534982401491275,204423.0
Arunachal Pradesh,2000,1.2670952551190227,205571.0
