state,stunting_rate,underweight_rate,anaemia_rate
Andaman & Nicobar Islands,18.2,15.1,47.8
Andhra Pradesh,23.1,25.1,58.7
Arunachal Pradesh,28.4,13.1,52.8
Assam,29.8,25.9,66.4
Bihar,36.8,35.8,67.9
Chandigarh,25.2,20.2,55.0
Chhattisgarh,30.0,25.8,71.1
Dadra and Nagar Haveli & Daman and Diu,32.9,33.6,75.0
Goa,24.3,22.5,53.3
Gujarat,32.4,33.3,77.6
Haryana,26.1,20.5,68.1
Himachal Pradesh,27.0,24.6,58.2
Jammu & Kashmir,30.1,19.4,70.1
Jharkhand,26.8,30.0,65.5
Karnataka,32.2,29.4,62.8
Kerala,20.1,19.4,38.9
Ladakh,28.2,17.0,84.1
Lakshadweep,30.7,28.5,45.5
Madhya Pradesh,30.1,28.6,72.5
Maharastra,34.9,33.3,66.3
Manipur,20.1,12.9,44.0
Meghalaya,35.1,22.2,38.8
Mizoram,25.5,9.3,42.8
Nagaland,27.1,24.5,46.4
NCT of Delhi,31.0,22.2,68.7
Odisha,24.9,21.5,56.2
Puducherry,21.7,15.9,65.3
Punjab,25.7,17.9,71.0
Rajasthan,28.3,25.4,68.3
Sikkim,15.1,9.0,54.8
Tamil Nadu,22.2,20.0,53.7
Telangana,28.1,25.8,64.7
Tripura,27.1,16.4,57.3
Uttar Pradesh,33.0,28.2,65.3
Uttarakhand,24.3,21.0,63.8
West Bengal,32.1,28.7,63.0
